GeneID	RNA_nucleotide_accession.version	Ensembl_rna_identifier	gene	transcript	mane_select
107	NM_021116.4	ENST00000297323.12	ADCY1	NM_021116.4	True
108	NM_020546.3	ENST00000338316.9	ADCY2	NM_020546.3	True
109	NM_004036.5	ENST00000679454.1	ADCY3	NM_004036.5	True
111	NM_183357.3	ENST00000462833.6	ADCY5	NM_183357.3	True
112	NM_015270.5	ENST00000357869.8	ADCY6	NM_015270.5	True
113	NM_001114.5	ENST00000673801.1	ADCY7	NM_001114.5	True
114	NM_001115.3	ENST00000286355.10	ADCY8	NM_001115.3	True
115	NM_001116.4	ENST00000294016.8	ADCY9	NM_001116.4	True
116	NM_001099733.2	ENST00000450565.8	ADCYAP1	NM_001099733.2	True
117	NM_001118.5	ENST00000304166.9	ADCYAP1R1	NM_001118.5	True
118	NM_001354761.2	ENST00000683351.1	ADD1	NM_001354761.2	True
119	NM_001617.4	ENST00000264436.9	ADD2	NM_001617.4	True
120	NM_016824.5	ENST00000356080.9	ADD3	NM_016824.5	True
123	NM_001122.4	ENST00000276914.7	PLIN2	NM_001122.4	True
124	NM_000667.4	ENST00000209668.3	ADH1A	NM_000667.4	True
125	NM_000668.6	ENST00000305046.13	ADH1B	NM_000668.6	True
126	NM_000669.5	ENST00000515683.6	ADH1C	NM_000669.5	True
127	NM_000670.5	ENST00000265512.12	ADH4	NM_000670.5	True
128	NM_000671.4	ENST00000296412.14	ADH5	NM_000671.4	True
130	NM_001102470.2	ENST00000394899.6	ADH6	NM_001102470.2	True
131	NM_000673.7	ENST00000437033.7	ADH7	NM_000673.7	True
132	NM_006721.4	ENST00000539909.6	ADK	NM_006721.4	True
133	NM_001124.3	ENST00000278175.10	ADM	NM_001124.3	True
134	NM_000674.3	ENST00000337894.9	ADORA1	NM_000674.3	True
135	NM_000675.6	ENST00000337539.12	ADORA2A	NM_000675.6	True
136	NM_000676.4	ENST00000304222.3	ADORA2B	NM_000676.4	True
140	NM_000677.4	ENST00000241356.5	ADORA3	NM_000677.4	True
141	NM_001125.4	ENST00000357003.8	ADPRH	NM_001125.4	True
142	NM_001618.4	ENST00000366794.10	PARP1	NM_001618.4	True
143	NM_006437.4	ENST00000381989.4	PARP4	NM_006437.4	True
146	NM_000678.4	ENST00000379453.6	ADRA1D	NM_000678.4	True
147	NM_000679.4	ENST00000306675.5	ADRA1B	NM_000679.4	True
148	NM_000680.4	ENST00000380573.4	ADRA1A	NM_000680.4	True
150	NM_000681.4	ENST00000280155.4	ADRA2A	NM_000681.4	True
151	NM_000682.7	ENST00000620793.2	ADRA2B	NM_000682.7	True
152	NM_000683.4	ENST00000330055.7	ADRA2C	NM_000683.4	True
153	NM_000684.3	ENST00000369295.4	ADRB1	NM_000684.3	True
154	NM_000024.6	ENST00000305988.6	ADRB2	NM_000024.6	True
155	NM_000025.3	ENST00000345060.5	ADRB3	NM_000025.3	True
156	NM_001619.5	ENST00000308595.10	GRK2	NM_001619.5	True
157	NM_005160.4	ENST00000324198.11	GRK3	NM_005160.4	True
158	NM_000026.4	ENST00000623063.3	ADSL	NM_000026.4	True
159	NM_001126.5	ENST00000366535.4	ADSS2	NM_001126.5	True
160	NM_130787.3	ENST00000354293.10	AP2A1	NM_130787.3	True
161	NM_012305.4	ENST00000448903.7	AP2A2	NM_012305.4	True
162	NM_001127.4	ENST00000357586.7	AP1B1	NM_001127.4	True
163	NM_001030006.2	ENST00000610402.5	AP2B1	NM_001030006.2	True
164	NM_001128.6	ENST00000299980.9	AP1G1	NM_001128.6	True
165	NM_001129.5	ENST00000223357.8	AEBP1	NM_001129.5	True
166	NM_001130.6	ENST00000327141.9	TLE5	NM_001130.6	True
167	NM_001131.3	ENST00000335847.9	CRISP1	NM_001131.3	True
173	NM_001133.2	ENST00000226355.5	AFM	NM_001133.2	True
174	NM_001134.3	ENST00000395792.7	AFP	NM_001134.3	True
175	NM_000027.4	ENST00000264595.7	AGA	NM_000027.4	True
176	NM_001369268.1	ENST00000560601.4	ACAN	NM_001369268.1	True
177	NM_001136.5	ENST00000375076.9	AGER	NM_001136.5	True
178	NM_000642.3	ENST00000361915.8	AGL	NM_000642.3	True
181	NM_001138.2	ENST00000290953.3	AGRP	NM_001138.2	True
182	NM_000214.3	ENST00000254958.10	JAG1	NM_000214.3	True
183	NM_001384479.1	ENST00000366667.6	AGT	NM_001384479.1	True
185	NM_000685.5	ENST00000349243.8	AGTR1	NM_000685.5	True
187	NM_005161.6	ENST00000606794.2	APLNR	NM_005161.6	True
189	NM_000030.3	ENST00000307503.4	AGXT	NM_000030.3	True
191	NM_000687.4	ENST00000217426.7	AHCY	NM_000687.4	True
196	NM_001621.5	ENST00000242057.9	AHR	NM_001621.5	True
197	NM_001622.4	ENST00000411641.7	AHSG	NM_001622.4	True
199	NM_001623.5	ENST00000376059.8	AIF1	NM_001623.5	True
202	NM_001371242.2	ENST00000633556.3	CRYBG1	NM_001371242.2	True
203	NM_000476.3	ENST00000644144.2	AK1	NM_000476.3	True
204	NM_001625.4	ENST00000672715.1	AK2	NM_001625.4	True
205	NM_013410.4	ENST00000327299.8	AK4	NM_013410.4	True
207	NM_001382430.1	ENST00000649815.2	AKT1	NM_001382430.1	True
208	NM_001626.6	ENST00000392038.7	AKT2	NM_001626.6	True
210	NM_000031.6	ENST00000409155.8	ALAD	NM_000031.6	True
211	NM_000688.6	ENST00000484952.6	ALAS1	NM_000688.6	True
213	NM_000477.7	ENST00000295897.9	ALB	NM_000477.7	True
214	NM_001627.4	ENST00000306107.9	ALCAM	NM_001627.4	True
216	NM_000689.5	ENST00000297785.8	ALDH1A1	NM_000689.5	True
217	NM_000690.4	ENST00000261733.7	ALDH2	NM_000690.4	True
218	NM_000691.5	ENST00000225740.11	ALDH3A1	NM_000691.5	True
219	NM_000692.5	ENST00000377698.4	ALDH1B1	NM_000692.5	True
220	NM_000693.4	ENST00000329841.10	ALDH1A3	NM_000693.4	True
221	NM_000694.4	ENST00000342456.11	ALDH3B1	NM_000694.4	True
223	NM_000696.4	ENST00000354775.5	ALDH9A1	NM_000696.4	True
224	NM_000382.3	ENST00000176643.11	ALDH3A2	NM_000382.3	True
225	NM_005164.4	ENST00000308666.4	ABCD2	NM_005164.4	True
226	NM_001243177.4	ENST00000642816.3	ALDOA	NM_001243177.4	True
229	NM_000035.4	ENST00000647789.2	ALDOB	NM_000035.4	True
230	NM_005165.3	ENST00000226253.9	ALDOC	NM_005165.3	True
231	NM_001628.4	ENST00000285930.9	AKR1B1	NM_001628.4	True
238	NM_004304.5	ENST00000389048.8	ALK	NM_004304.5	True
239	NM_000697.3	ENST00000251535.11	ALOX12	NM_000697.3	True
240	NM_000698.5	ENST00000374391.7	ALOX5	NM_000698.5	True
241	NM_001629.4	ENST00000380490.5	ALOX5AP	NM_001629.4	True
242	NM_001139.3	ENST00000647874.1	ALOX12B	NM_001139.3	True
246	NM_001140.5	ENST00000293761.8	ALOX15	NM_001140.5	True
247	NM_001141.3	ENST00000380183.9	ALOX15B	NM_001141.3	True
248	NM_001631.5	ENST00000295463.4	ALPI	NM_001631.5	True
249	NM_000478.6	ENST00000374840.8	ALPL	NM_000478.6	True
250	NM_001632.5	ENST00000392027.3	ALPP	NM_001632.5	True
251	NM_031313.3	ENST00000295453.8	ALPG	NM_031313.3	True
257	NM_006492.3	ENST00000647563.2	ALX3	NM_006492.3	True
258	NM_016519.6	ENST00000322937.10	AMBN	NM_016519.6	True
259	NM_001633.4	ENST00000265132.8	AMBP	NM_001633.4	True
262	NM_001634.6	ENST00000368885.8	AMD1	NM_001634.6	True
267	NM_001144.6	ENST00000290649.10	AMFR	NM_001144.6	True
268	NM_000479.5	ENST00000221496.5	AMH	NM_000479.5	True
269	NM_020547.3	ENST00000257863.9	AMHR2	NM_020547.3	True
270	NM_000036.3	ENST00000520113.7	AMPD1	NM_000036.3	True
271	NM_001368809.2	ENST00000528667.7	AMPD2	NM_001368809.2	True
272	NM_001025389.2	ENST00000396553.7	AMPD3	NM_001025389.2	True
273	NM_001635.4	ENST00000356264.7	AMPH	NM_001635.4	True
274	NM_139343.3	ENST00000316724.10	BIN1	NM_139343.3	True
275	NM_000481.4	ENST00000273588.9	AMT	NM_000481.4	True
276	NM_004038.4	ENST00000370083.9	AMY1A	NM_004038.4	True
278	NM_001008219.3	ENST00000622339.5	AMY1C	NM_001008219.3	True
279	NM_000699.4	ENST00000414303.7	AMY2A	NM_000699.4	True
280	NM_001387437.1	ENST00000684275.1	AMY2B	NM_001387437.1	True
283	NM_001097577.3	ENST00000397990.5	ANG	NM_001097577.3	True
284	NM_001146.5	ENST00000517746.6	ANGPT1	NM_001146.5	True
285	NM_001118887.2	ENST00000629816.3	ANGPT2	NM_001118887.2	True
286	NM_000037.4	ENST00000289734.13	ANK1	NM_000037.4	True
287	NM_001148.6	ENST00000357077.9	ANK2	NM_001148.6	True
288	NM_020987.5	ENST00000280772.7	ANK3	NM_020987.5	True
290	NM_001150.3	ENST00000300060.7	ANPEP	NM_001150.3	True
291	NM_001151.4	ENST00000281456.11	SLC25A4	NM_001151.4	True
301	NM_000700.3	ENST00000257497.11	ANXA1	NM_000700.3	True
302	NM_004039.3	ENST00000451270.7	ANXA2	NM_004039.3	True
306	NM_005139.3	ENST00000264908.11	ANXA3	NM_005139.3	True
307	NM_001153.5	ENST00000394295.6	ANXA4	NM_001153.5	True
308	NM_001154.4	ENST00000296511.10	ANXA5	NM_001154.4	True
309	NM_001155.5	ENST00000354546.10	ANXA6	NM_001155.5	True
310	NM_001156.5	ENST00000372921.10	ANXA7	NM_001156.5	True
311	NM_145868.2	ENST00000422982.8	ANXA11	NM_145868.2	True
312	NM_004306.4	ENST00000419625.6	ANXA13	NM_004306.4	True
313	NM_001637.4	ENST00000617537.5	AOAH	NM_001637.4	True
314	NM_009590.4	ENST00000253799.8	AOC2	NM_009590.4	True
316	NM_001159.4	ENST00000374700.7	AOX1	NM_001159.4	True
317	NM_181861.2	ENST00000551964.6	APAF1	NM_181861.2	True
318	NM_001161.5	ENST00000379158.7	NUDT2	NM_001161.5	True
319	NM_001638.4	ENST00000398189.4	APOF	NM_001638.4	True
320	NM_001163.4	ENST00000265381.7	APBA1	NM_001163.4	True
321	NM_001353788.2	ENST00000683413.1	APBA2	NM_001353788.2	True
322	NM_001164.5	ENST00000609360.6	APBB1	NM_001164.5	True
323	NM_004307.2	ENST00000508593.6	APBB2	NM_004307.2	True
324	NM_000038.6	ENST00000257430.9	APC	NM_000038.6	True
325	NM_001639.4	ENST00000255040.3	APCS	NM_001639.4	True
326	NM_000383.4	ENST00000291582.6	AIRE	NM_000383.4	True
327	NM_001640.4	ENST00000296456.10	APEH	NM_001640.4	True
328	NM_001641.4	ENST00000216714.8	APEX1	NM_001641.4	True
329	NM_001166.5	ENST00000227758.7	BIRC2	NM_001166.5	True
330	NM_001165.5	ENST00000263464.9	BIRC3	NM_001165.5	True
332	NM_001168.3	ENST00000350051.8	BIRC5	NM_001168.3	True
333	NM_001024807.3	ENST00000221891.9	APLP1	NM_001024807.3	True
334	NM_001142276.2	ENST00000338167.10	APLP2	NM_001142276.2	True
335	NM_000039.3	ENST00000236850.5	APOA1	NM_000039.3	True
336	NM_001643.2	ENST00000367990.7	APOA2	NM_001643.2	True
337	NM_000482.4	ENST00000357780.5	APOA4	NM_000482.4	True
338	NM_000384.3	ENST00000233242.5	APOB	NM_000384.3	True
339	NM_001644.5	ENST00000229304.5	APOBEC1	NM_001644.5	True
341	NM_001645.5	ENST00000592535.6	APOC1	NM_001645.5	True
343	NM_001169.3	ENST00000219660.6	AQP8	NM_001169.3	True
344	NM_000483.5	ENST00000252490.7	APOC2	NM_000483.5	True
345	NM_000040.3	ENST00000227667.8	APOC3	NM_000040.3	True
346	NM_001646.3	ENST00000592954.2	APOC4	NM_001646.3	True
347	NM_001647.4	ENST00000343267.8	APOD	NM_001647.4	True
348	NM_000041.4	ENST00000252486.9	APOE	NM_000041.4	True
350	NM_000042.3	ENST00000205948.11	APOH	NM_000042.3	True
351	NM_000484.4	ENST00000346798.8	APP	NM_000484.4	True
353	NM_000485.3	ENST00000378364.8	APRT	NM_000485.3	True
354	NM_001648.2	ENST00000326003.7	KLK3	NM_001648.2	True
355	NM_000043.6	ENST00000652046.1	FAS	NM_000043.6	True
356	NM_000639.3	ENST00000367721.3	FASLG	NM_000639.3	True
358	NM_198098.4	ENST00000311813.11	AQP1	NM_198098.4	True
359	NM_000486.6	ENST00000199280.4	AQP2	NM_000486.6	True
360	NM_004925.5	ENST00000297991.6	AQP3	NM_004925.5	True
361	NM_001650.7	ENST00000383168.9	AQP4	NM_001650.7	True
362	NM_001651.4	ENST00000293599.7	AQP5	NM_001651.4	True
363	NM_001652.4	ENST00000315520.10	AQP6	NM_001652.4	True
364	NM_001170.3	ENST00000297988.6	AQP7	NM_001170.3	True
366	NM_020980.5	ENST00000219919.9	AQP9	NM_020980.5	True
368	NM_001171.6	ENST00000205557.12	ABCC6	NM_001171.6	True
372	NM_001655.5	ENST00000264028.5	ARCN1	NM_001655.5	True
373	NM_001656.4	ENST00000231524.14	TRIM23	NM_001656.4	True
374	NM_001657.4	ENST00000395748.8	AREG	NM_001657.4	True
375	NM_001658.4	ENST00000272102.10	ARF1	NM_001658.4	True
377	NM_001659.3	ENST00000256682.9	ARF3	NM_001659.3	True
378	NM_001660.4	ENST00000303436.11	ARF4	NM_001660.4	True
379	NM_001661.4	ENST00000320033.5	ARL4D	NM_001661.4	True
381	NM_001662.4	ENST00000000233.10	ARF5	NM_001662.4	True
382	NM_001663.4	ENST00000298316.7	ARF6	NM_001663.4	True
383	NM_000045.4	ENST00000368087.8	ARG1	NM_000045.4	True
384	NM_001172.4	ENST00000261783.4	ARG2	NM_001172.4	True
387	NM_001664.4	ENST00000418115.6	RHOA	NM_001664.4	True
388	NM_004040.4	ENST00000272233.6	RHOB	NM_004040.4	True
389	NM_175744.5	ENST00000339083.12	RHOC	NM_175744.5	True
390	NM_005168.5	ENST00000263895.9	RND3	NM_005168.5	True
391	NM_001665.4	ENST00000351018.5	RHOG	NM_001665.4	True
392	NM_004308.5	ENST00000311956.9	ARHGAP1	NM_004308.5	True
394	NM_001030055.2	ENST00000345122.8	ARHGAP5	NM_001030055.2	True
396	NM_004309.6	ENST00000269321.12	ARHGDIA	NM_004309.6	True
397	NM_001175.7	ENST00000228945.9	ARHGDIB	NM_001175.7	True
398	NM_001176.4	ENST00000219409.8	ARHGDIG	NM_001176.4	True
399	NM_004310.5	ENST00000381799.10	RHOH	NM_004310.5	True
400	NM_001177.6	ENST00000261636.13	ARL1	NM_001177.6	True
401	NM_005169.4	ENST00000298231.5	PHOX2A	NM_005169.4	True
402	NM_001667.4	ENST00000246747.9	ARL2	NM_001667.4	True
403	NM_004311.4	ENST00000260746.6	ARL3	NM_004311.4	True
405	NM_001668.4	ENST00000358595.10	ARNT	NM_001668.4	True
406	NM_001297719.2	ENST00000403290.6	ARNTL	NM_001297719.2	True
408	NM_004041.5	ENST00000420843.7	ARRB1	NM_004041.5	True
409	NM_004313.4	ENST00000269260.7	ARRB2	NM_004313.4	True
410	NM_000487.6	ENST00000216124.10	ARSA	NM_000487.6	True
411	NM_000046.5	ENST00000264914.10	ARSB	NM_000046.5	True
417	NM_004314.3	ENST00000250693.2	ART1	NM_004314.3	True
419	NM_001130016.3	ENST00000355810.9	ART3	NM_001130016.3	True
420	NM_021071.4	ENST00000228936.6	ART4	NM_021071.4	True
421	NM_001670.3	ENST00000263207.8	ARVCF	NM_001670.3	True
427	NM_177924.5	ENST00000637790.2	ASAH1	NM_177924.5	True
429	NM_004316.4	ENST00000266744.4	ASCL1	NM_004316.4	True
430	NM_005170.3	ENST00000331289.5	ASCL2	NM_005170.3	True
432	NM_001671.5	ENST00000269299.8	ASGR1	NM_001671.5	True
433	NM_001201352.2	ENST00000691900.1	ASGR2	NM_001201352.2	True
434	NM_001672.3	ENST00000374954.4	ASIP	NM_001672.3	True
435	NM_000048.4	ENST00000304874.14	ASL	NM_000048.4	True
439	NM_004317.4	ENST00000357332.8	GET3	NM_004317.4	True
440	NM_001673.5	ENST00000394308.8	ASNS	NM_001673.5	True
443	NM_000049.4	ENST00000263080.3	ASPA	NM_000049.4	True
444	NM_004318.4	ENST00000379454.9	ASPH	NM_004318.4	True
445	NM_054012.4	ENST00000352480.10	ASS1	NM_054012.4	True
460	NM_004319.3	ENST00000361833.7	ASTN1	NM_004319.3	True
462	NM_000488.4	ENST00000367698.4	SERPINC1	NM_000488.4	True
463	NM_006885.4	ENST00000268489.10	ZFHX3	NM_006885.4	True
466	NM_005171.5	ENST00000262053.8	ATF1	NM_005171.5	True
467	NM_001674.4	ENST00000341491.9	ATF3	NM_001674.4	True
468	NM_182810.3	ENST00000674920.3	ATF4	NM_182810.3	True
471	NM_004044.7	ENST00000236959.14	ATIC	NM_004044.7	True
472	NM_000051.4	ENST00000675843.1	ATM	NM_000051.4	True
473	NM_001042681.2	ENST00000400908.7	RERE	NM_001042681.2	True
474	NM_005172.2	ENST00000306011.6	ATOH1	NM_005172.2	True
475	NM_004045.4	ENST00000313115.11	ATOX1	NM_004045.4	True
476	NM_000701.8	ENST00000295598.10	ATP1A1	NM_000701.8	True
477	NM_000702.4	ENST00000361216.8	ATP1A2	NM_000702.4	True
478	NM_152296.5	ENST00000648268.1	ATP1A3	NM_152296.5	True
479	NM_001676.7	ENST00000381946.5	ATP12A	NM_001676.7	True
480	NM_144699.4	ENST00000368081.9	ATP1A4	NM_144699.4	True
481	NM_001677.4	ENST00000367815.9	ATP1B1	NM_001677.4	True
482	NM_001678.5	ENST00000250111.9	ATP1B2	NM_001678.5	True
483	NM_001679.4	ENST00000286371.8	ATP1B3	NM_001679.4	True
486	NM_001680.5	ENST00000292079.7	FXYD2	NM_001680.5	True
487	NM_004320.6	ENST00000395503.9	ATP2A1	NM_004320.6	True
488	NM_170665.4	ENST00000539276.7	ATP2A2	NM_170665.4	True
489	NM_005173.4	ENST00000397041.8	ATP2A3	NM_005173.4	True
490	NM_001366521.1	ENST00000428670.8	ATP2B1	NM_001366521.1	True
491	NM_001001331.4	ENST00000360273.7	ATP2B2	NM_001001331.4	True
493	NM_001684.5	ENST00000357681.10	ATP2B4	NM_001684.5	True
495	NM_000704.3	ENST00000262623.4	ATP4A	NM_000704.3	True
496	NM_000705.4	ENST00000335288.5	ATP4B	NM_000705.4	True
498	NM_004046.6	ENST00000398752.11	ATP5F1A	NM_004046.6	True
501	NM_001182.5	ENST00000409134.8	ALDH7A1	NM_001182.5	True
506	NM_001686.4	ENST00000262030.8	ATP5F1B	NM_001686.4	True
509	NM_001001973.3	ENST00000356708.12	ATP5F1C	NM_001001973.3	True
513	NM_001687.5	ENST00000215375.7	ATP5F1D	NM_001687.5	True
514	NM_006886.4	ENST00000243997.8	ATP5F1E	NM_006886.4	True
515	NM_001688.5	ENST00000369722.8	ATP5PB	NM_001688.5	True
516	NM_005175.3	ENST00000393366.7	ATP5MC1	NM_005175.3	True
517	NM_005176.7	ENST00000394349.9	ATP5MC2	NM_005176.7	True
518	NM_001689.5	ENST00000284727.9	ATP5MC3	NM_001689.5	True
521	NM_007100.4	ENST00000304312.5	ATP5ME	NM_007100.4	True
522	NM_001003703.2	ENST00000284971.8	ATP5PF	NM_001003703.2	True
523	NM_001690.4	ENST00000273398.8	ATP6V1A	NM_001690.4	True
525	NM_001692.4	ENST00000234396.10	ATP6V1B1	NM_001692.4	True
526	NM_001693.4	ENST00000276390.7	ATP6V1B2	NM_001693.4	True
527	NM_001694.4	ENST00000330398.9	ATP6V0C	NM_001694.4	True
528	NM_001695.5	ENST00000518738.2	ATP6V1C1	NM_001695.5	True
529	NM_001696.4	ENST00000253413.10	ATP6V1E1	NM_001696.4	True
533	NM_004047.5	ENST00000472174.7	ATP6V0B	NM_004047.5	True
534	NM_130463.4	ENST00000303892.10	ATP6V1G2	NM_130463.4	True
535	NM_001130021.3	ENST00000343619.9	ATP6V0A1	NM_001130021.3	True
539	NM_001697.3	ENST00000290299.7	ATP5PO	NM_001697.3	True
540	NM_000053.4	ENST00000242839.10	ATP7B	NM_000053.4	True
545	NM_001184.4	ENST00000350721.9	ATR	NM_001184.4	True
547	NM_001244008.2	ENST00000498729.9	KIF1A	NM_001244008.2	True
549	NM_001698.3	ENST00000375731.9	AUH	NM_001698.3	True
550	NM_181575.5	ENST00000377526.4	AUP1	NM_181575.5	True
551	NM_000490.5	ENST00000380293.3	AVP	NM_000490.5	True
552	NM_000706.5	ENST00000299178.4	AVPR1A	NM_000706.5	True
553	NM_000707.5	ENST00000367126.5	AVPR1B	NM_000707.5	True
558	NM_021913.5	ENST00000301178.9	AXL	NM_021913.5	True
563	NM_001185.4	ENST00000292401.9	AZGP1	NM_001185.4	True
566	NM_001700.5	ENST00000233997.4	AZU1	NM_001700.5	True
567	NM_004048.4	ENST00000648006.3	B2M	NM_004048.4	True
570	NM_001701.4	ENST00000259407.7	BAAT	NM_001701.4	True
571	NM_001186.4	ENST00000286800.8	BACH1	NM_001186.4	True
572	NM_032989.3	ENST00000309032.8	BAD	NM_032989.3	True
573	NM_004323.6	ENST00000634734.3	BAG1	NM_004323.6	True
575	NM_001702.3	ENST00000517894.6	ADGRB1	NM_001702.3	True
576	NM_001364857.2	ENST00000373658.8	ADGRB2	NM_001364857.2	True
577	NM_001704.3	ENST00000370598.6	ADGRB3	NM_001704.3	True
578	NM_001188.4	ENST00000374467.4	BAK1	NM_001188.4	True
579	NM_001189.4	ENST00000382438.6	NKX3-2	NM_001189.4	True
580	NM_000465.4	ENST00000260947.9	BARD1	NM_000465.4	True
581	NM_138761.4	ENST00000345358.12	BAX	NM_138761.4	True
582	NM_024649.5	ENST00000318312.12	BBS1	NM_024649.5	True
583	NM_031885.5	ENST00000245157.11	BBS2	NM_031885.5	True
585	NM_033028.5	ENST00000268057.9	BBS4	NM_033028.5	True
586	NM_005504.7	ENST00000261192.12	BCAT1	NM_005504.7	True
587	NM_001190.4	ENST00000316273.11	BCAT2	NM_001190.4	True
590	NM_000055.4	ENST00000264381.8	BCHE	NM_000055.4	True
593	NM_000709.4	ENST00000269980.7	BCKDHA	NM_000709.4	True
594	NM_183050.4	ENST00000320393.9	BCKDHB	NM_183050.4	True
595	NM_053056.3	ENST00000227507.3	CCND1	NM_053056.3	True
596	NM_000633.3	ENST00000333681.5	BCL2	NM_000633.3	True
597	NM_004049.4	ENST00000267953.4	BCL2A1	NM_004049.4	True
598	NM_138578.3	ENST00000307677.5	BCL2L1	NM_138578.3	True
599	NM_004050.5	ENST00000250405.10	BCL2L2	NM_004050.5	True
602	NM_005178.5	ENST00000164227.10	BCL3	NM_005178.5	True
604	NM_001706.5	ENST00000406870.7	BCL6	NM_001706.5	True
605	NM_001024808.3	ENST00000261822.5	BCL7A	NM_001024808.3	True
607	NM_004326.4	ENST00000234739.8	BCL9	NM_004326.4	True
