Transcript_ID,Gene.refGene,Exon,Genomic_start,Genomic_end,CDS_start,CDS_end,Exon_Length
NM_001001430.3,TNNT2,exon12,201368161,201368227,735,800,66
NM_001001430.3,TNNT2,exon13,201372026,201372041,801,815,15
NM_001001430.3,TNNT2,exon14,201372144,201372155,816,826,11
NM_001001430.3,TNNT2,exon15,201373213,201373254,827,867,41
NM_001001431.3,TNNT2,exon1,201359209,201359255,1,46,46
NM_001001431.3,TNNT2,exon2,201359622,201359663,47,87,41
NM_001001431.3,TNNT2,exon3,201361278,201361369,88,178,91
NM_001001431.3,TNNT2,exon4,201361912,201362022,179,288,110
NM_001001431.3,TNNT2,exon5,201363295,201363406,289,399,111
NM_001001431.3,TNNT2,exon6,201364297,201364375,400,477,78
NM_001001431.3,TNNT2,exon7,201365190,201365307,478,594,117
NM_001001431.3,TNNT2,exon8,201365609,201365670,595,655,61
NM_001001431.3,TNNT2,exon9,201366837,201366871,656,689,34
NM_001001431.3,TNNT2,exon10,201367770,201367806,690,725,36
NM_001001431.3,TNNT2,exon11,201368161,201368227,726,791,66
NM_001001431.3,TNNT2,exon12,201372026,201372041,792,806,15
NM_001001431.3,TNNT2,exon13,201372144,201372155,807,817,11
NM_001001431.3,TNNT2,exon14,201373213,201373254,818,858,41
NM_001162427.2,TSC1,exon1,132896234,132896754,1,520,520
NM_001162427.2,TSC1,exon2,132897183,132897345,521,682,162
NM_001162427.2,TSC1,exon3,132897422,132897610,683,870,188
NM_001162427.2,TSC1,exon4,132900714,132900837,871,993,123
NM_001162427.2,TSC1,exon5,132901588,132901699,994,1104,111
NM_001162427.2,TSC1,exon6,132902604,132902787,1105,1287,183
NM_001162427.2,TSC1,exon7,132903650,132903817,1288,1454,167
NM_001162427.2,TSC1,exon8,132904410,132904454,1455,1498,44
NM_001162427.2,TSC1,exon9,132905580,132906139,1499,2057,559
NM_001162427.2,TSC1,exon10,132906730,132906835,2058,2162,105
NM_001162427.2,TSC1,exon11,132907300,132907370,2163,2232,70
NM_001162427.2,TSC1,exon12,132910570,132910692,2233,2354,122
NM_001162427.2,TSC1,exon13,132911001,132911113,2355,2466,112
NM_001162427.2,TSC1,exon14,132911452,132911568,2467,2582,116
NM_001162427.2,TSC1,exon15,132912281,132912457,2583,2758,176
NM_001162427.2,TSC1,exon16,132921362,132921436,2759,2832,74
NM_001162427.2,TSC1,exon17,132921818,132921973,2833,2987,155
NM_001162427.2,TSC1,exon18,132923347,132923492,2988,3132,145
NM_001162427.2,TSC1,exon19,132927200,132927304,3133,3236,104
NM_001162427.2,TSC1,exon20,132928766,132928872,3237,3342,106
NM_001354623.1,MLH1,exon9,37020448,37020463,1,15,15
NM_001354623.1,MLH1,exon10,37025636,37026007,16,386,371
NM_001354623.1,MLH1,exon11,37028783,37028932,387,535,149
NM_001354623.1,MLH1,exon12,37040185,37040294,536,644,109
NM_001354623.1,MLH1,exon13,37042267,37042331,645,708,64
NM_001354623.1,MLH1,exon14,37047518,37047683,709,873,165
NM_001354623.1,MLH1,exon15,37048516,37048609,874,966,93
NM_001354623.1,MLH1,exon16,37048903,37049017,967,1080,114
NM_001354623.1,MLH1,exon17,37050485,37050653,1081,1248,168
NM_001354622.1,MLH1,exon10,37020448,37020463,1,15,15
NM_001354622.1,MLH1,exon11,37025636,37026007,16,386,371
NM_001354622.1,MLH1,exon12,37028783,37028932,387,535,149
NM_001354622.1,MLH1,exon13,37040185,37040294,536,644,109
NM_001354622.1,MLH1,exon14,37042267,37042331,645,708,64
NM_001354622.1,MLH1,exon15,37047518,37047683,709,873,165
NM_001354622.1,MLH1,exon16,37048516,37048609,874,966,93
NM_001354622.1,MLH1,exon17,37048903,37049017,967,1080,114
NM_001354622.1,MLH1,exon18,37050485,37050653,1081,1248,168
NM_001354621.1,MLH1,exon9,37020448,37020463,1,15,15
NM_001354621.1,MLH1,exon10,37025636,37026007,16,386,371
NM_001354621.1,MLH1,exon11,37028783,37028932,387,535,149
NM_001354621.1,MLH1,exon12,37040185,37040294,536,644,109
NM_001354621.1,MLH1,exon13,37042267,37042331,645,708,64
NM_001354621.1,MLH1,exon14,37047518,37047683,709,873,165
NM_001354621.1,MLH1,exon15,37048516,37048609,874,966,93
NM_001354621.1,MLH1,exon16,37048903,37049017,967,1080,114
NM_001354621.1,MLH1,exon17,37050485,37050653,1081,1248,168
NM_001354619.1,MLH1,exon10,37014477,37014544,1,67,67
NM_001354619.1,MLH1,exon11,37017505,37017599,68,161,94
NM_001354619.1,MLH1,exon12,37020309,37020463,162,315,154
NM_001354619.1,MLH1,exon13,37025636,37026007,316,686,371
NM_001354619.1,MLH1,exon14,37028783,37028932,687,835,149
NM_001354619.1,MLH1,exon15,37040185,37040294,836,944,109
NM_001354619.1,MLH1,exon16,37042267,37042331,945,1008,64
NM_001354619.1,MLH1,exon17,37047518,37047683,1009,1173,165
NM_001354619.1,MLH1,exon18,37048516,37048609,1174,1266,93
NM_001354619.1,MLH1,exon19,37048903,37049017,1267,1380,114
NM_001354619.1,MLH1,exon20,37050485,37050653,1381,1548,168
NM_001354620.1,MLH1,exon3,37001036,37001048,1,12,12
NM_001354620.1,MLH1,exon4,37004400,37004474,13,86,74
NM_001354620.1,MLH1,exon5,37006990,37007063,87,159,73
NM_001354620.1,MLH1,exon6,37008813,37008905,160,251,92
NM_001354620.1,MLH1,exon7,37011819,37011862,252,294,43
NM_001354620.1,MLH1,exon8,37012010,37012099,295,383,89
NM_001354620.1,MLH1,exon9,37014431,37014544,384,496,113
NM_001354620.1,MLH1,exon10,37017505,37017599,497,590,94
NM_001354620.1,MLH1,exon11,37020309,37020463,591,744,154
NM_001354620.1,MLH1,exon12,37025636,37026007,745,1115,371
NM_001354620.1,MLH1,exon13,37028783,37028932,1116,1264,149
NM_001354620.1,MLH1,exon14,37040185,37040294,1265,1373,109
NM_001354620.1,MLH1,exon15,37042267,37042331,1374,1437,64
NM_001354620.1,MLH1,exon16,37047518,37047683,1438,1602,165
NM_001354620.1,MLH1,exon17,37048516,37048609,1603,1695,93
NM_001354620.1,MLH1,exon18,37048903,37049017,1696,1809,114
NM_001354620.1,MLH1,exon19,37050485,37050653,1810,1977,168
NM_005184.4,CALM3,exon1,46601434,46601437,1,3,3
NM_005184.4,CALM3,exon2,46605826,46605857,4,34,31
NM_005184.4,CALM3,exon3,46608196,46608340,35,178,144
NM_005184.4,CALM3,exon4,46608481,46608588,179,285,107
NM_005184.4,CALM3,exon5,46608845,46608981,286,421,136
NM_005184.4,CALM3,exon6,46609124,46609153,422,450,29
NM_001365781.2,TPM1,exon1,63048575,63048707,1,132,132
NM_001365781.2,TPM1,exon2,63056984,63057118,133,266,134
NM_001365781.2,TPM1,exon3,63059562,63059680,267,384,118
NM_001365781.2,TPM1,exon4,63060868,63060939,385,455,71
NM_001365781.2,TPM1,exon5,63061197,63061273,456,531,76
NM_001365781.2,TPM1,exon6,63062214,63062277,532,594,63
NM_001365781.2,TPM1,exon7,63062575,63062645,595,664,70
NM_001365781.2,TPM1,exon8,63064063,63064146,665,747,83
NM_001126114.2,TP53,exon3,7673306,7673339,1,33,33
NM_001126114.2,TP53,exon4,7673534,7673608,34,107,74
NM_001126114.2,TP53,exon5,7673700,7673837,108,244,137
NM_001126114.2,TP53,exon6,7674180,7674290,245,354,110
NM_001126114.2,TP53,exon7,7674858,7674971,355,467,113
NM_001126114.2,TP53,exon8,7675052,7675236,468,651,184
NM_001126114.2,TP53,exon9,7675993,7676272,652,930,279
NM_001126114.2,TP53,exon10,7676381,7676403,931,952,22
NM_001126114.2,TP53,exon11,7676520,7676594,953,1026,74
NM_001126113.2,TP53,exon3,7673218,7673266,1,48,48
NM_001126113.2,TP53,exon4,7673534,7673608,49,122,74
NM_001126113.2,TP53,exon5,7673700,7673837,123,259,137
NM_001126113.2,TP53,exon6,7674180,7674290,260,369,110
NM_001126113.2,TP53,exon7,7674858,7674971,370,482,113
NM_001126113.2,TP53,exon8,7675052,7675236,483,666,184
NM_001126113.2,TP53,exon9,7675993,7676272,667,945,279
NM_001126113.2,TP53,exon10,7676381,7676403,946,967,22
NM_001126113.2,TP53,exon11,7676520,7676594,968,1041,74
NM_001126112.2,TP53,exon1,7669608,7669690,1,82,82
NM_001126112.2,TP53,exon2,7670608,7670715,83,189,107
NM_001126112.2,TP53,exon3,7673534,7673608,190,263,74
NM_001126112.2,TP53,exon4,7673700,7673837,264,400,137
NM_001126112.2,TP53,exon5,7674180,7674290,401,510,110
NM_001126112.2,TP53,exon6,7674858,7674971,511,623,113
NM_001126112.2,TP53,exon7,7675052,7675236,624,807,184
NM_001126112.2,TP53,exon8,7675993,7676272,808,1086,279
NM_001126112.2,TP53,exon9,7676381,7676403,1087,1108,22
NM_001126112.2,TP53,exon10,7676520,7676594,1109,1182,74
NM_130801.2,MEN1,exon1,64804333,64804816,1,483,483
NM_130801.2,MEN1,exon2,64805033,64805198,484,648,165
NM_130801.2,MEN1,exon3,64805634,64805770,649,784,136
NM_130801.2,MEN1,exon4,64806231,64806368,785,921,137
NM_130801.2,MEN1,exon5,64807010,64807098,922,1009,88
NM_130801.2,MEN1,exon6,64807178,64807219,1010,1050,41
NM_130801.2,MEN1,exon7,64807551,64807680,1051,1179,129
NM_130801.2,MEN1,exon8,64807890,64808099,1180,1388,209
NM_130801.2,MEN1,exon9,64809649,64810109,1389,1848,460
NM_130800.2,MEN1,exon1,64804333,64804816,1,483,483
NM_130800.2,MEN1,exon2,64805033,64805198,484,648,165
NM_130800.2,MEN1,exon3,64805634,64805770,649,784,136
NM_130800.2,MEN1,exon4,64806231,64806368,785,921,137
NM_130800.2,MEN1,exon5,64807010,64807098,922,1009,88
NM_130800.2,MEN1,exon6,64807178,64807219,1010,1050,41
NM_130800.2,MEN1,exon7,64807551,64807680,1051,1179,129
NM_130800.2,MEN1,exon8,64807890,64808099,1180,1388,209
NM_130800.2,MEN1,exon9,64809649,64810109,1389,1848,460
NM_001126117.1,TP53,exon3,7673218,7673266,1,48,48
NM_001126117.1,TP53,exon4,7673534,7673608,49,122,74
NM_001126117.1,TP53,exon5,7673700,7673837,123,259,137
NM_001126117.1,TP53,exon6,7674180,7674290,260,369,110
NM_001126117.1,TP53,exon7,7674858,7674971,370,482,113
NM_001126117.1,TP53,exon8,7675052,7675215,483,645,163
NM_005159.5,ACTC1,exon1,34790411,34790555,1,144,144
NM_005159.5,ACTC1,exon2,34791113,34791295,145,326,182
NM_005159.5,ACTC1,exon3,34792089,34792281,327,518,192
NM_005159.5,ACTC1,exon4,34792407,34792569,519,680,162
NM_005159.5,ACTC1,exon5,34793244,34793569,681,1005,325
NM_005159.5,ACTC1,exon6,34794679,34794808,1006,1134,129
NM_001035512.2,SDHC,exon1,161314405,161314425,1,20,20
NM_001035512.2,SDHC,exon2,161323613,161323670,21,77,57
NM_001035512.2,SDHC,exon3,161340593,161340655,78,139,62
NM_001035512.2,SDHC,exon4,161356676,161356840,140,303,164
NM_001035512.2,SDHC,exon5,161362328,161362433,304,408,105
NM_001293195.1,MUTYH,exon1,45329305,45329437,1,132,132
NM_001293195.1,MUTYH,exon2,45330515,45330557,133,174,42
NM_001293195.1,MUTYH,exon3,45331181,45331334,175,327,153
NM_001293195.1,MUTYH,exon4,45331419,45331556,328,464,137
NM_001293195.1,MUTYH,exon5,45331660,45331849,465,653,189
NM_001293195.1,MUTYH,exon6,45332022,45332086,654,717,64
NM_001293195.1,MUTYH,exon7,45332165,45332310,718,862,145
NM_001293195.1,MUTYH,exon8,45332390,45332488,863,960,98
NM_001293195.1,MUTYH,exon9,45332573,45332687,961,1074,114
NM_001293195.1,MUTYH,exon10,45332762,45332834,1075,1146,72
NM_001293195.1,MUTYH,exon11,45332917,45332959,1147,1188,42
NM_001293195.1,MUTYH,exon12,45333096,45333170,1189,1262,74
NM_001293195.1,MUTYH,exon13,45333284,45333324,1263,1302,40
NM_001293195.1,MUTYH,exon14,45333412,45333561,1303,1451,149
NM_001293195.1,MUTYH,exon15,45334390,45334505,1452,1566,115
NM_001293192.1,MUTYH,exon1,45329305,45329437,1,132,132
NM_001293192.1,MUTYH,exon2,45330515,45330557,133,174,42
NM_001293192.1,MUTYH,exon3,45331181,45331334,175,327,153
NM_001293192.1,MUTYH,exon4,45331419,45331556,328,464,137
NM_001293192.1,MUTYH,exon5,45331660,45331849,465,653,189
NM_001293192.1,MUTYH,exon6,45332022,45332086,654,717,64
NM_001293192.1,MUTYH,exon7,45332165,45332310,718,862,145
NM_001293192.1,MUTYH,exon8,45332390,45332488,863,960,98
NM_001293192.1,MUTYH,exon9,45332573,45332687,961,1074,114
NM_001293192.1,MUTYH,exon10,45332762,45332834,1075,1146,72
NM_001293192.1,MUTYH,exon11,45332917,45332959,1147,1188,42
NM_001293192.1,MUTYH,exon12,45333096,45333170,1189,1262,74
NM_001293192.1,MUTYH,exon13,45333284,45333312,1263,1290,28
NM_001354630.1,MLH1,exon1,36993547,36993663,1,116,116
NM_001354630.1,MLH1,exon2,36996618,36996709,117,207,91
NM_001354630.1,MLH1,exon3,37000954,37001053,208,306,99
NM_001354630.1,MLH1,exon4,37004400,37004474,307,380,74
NM_001354630.1,MLH1,exon5,37006990,37007063,381,453,73
NM_001354630.1,MLH1,exon6,37008813,37008905,454,545,92
NM_001354630.1,MLH1,exon7,37011819,37011862,546,588,43
NM_001354630.1,MLH1,exon8,37012010,37012099,589,677,89
NM_001354630.1,MLH1,exon9,37014431,37014544,678,790,113
NM_001354630.1,MLH1,exon10,37017505,37017599,791,884,94
NM_001354630.1,MLH1,exon11,37020309,37020463,885,1038,154
NM_001354630.1,MLH1,exon12,37025636,37026007,1039,1409,371
NM_001354630.1,MLH1,exon13,37028783,37028932,1410,1558,149
NM_001354630.1,MLH1,exon14,37040185,37040294,1559,1667,109
NM_001354630.1,MLH1,exon15,37042267,37042331,1668,1731,64
NM_001354630.1,MLH1,exon16,37048516,37048609,1732,1824,93
NM_001354630.1,MLH1,exon17,37048903,37049017,1825,1938,114
NM_001354630.1,MLH1,exon18,37050485,37050653,1939,2106,168
NM_001354629.1,MLH1,exon1,36993547,36993663,1,116,116
NM_001354629.1,MLH1,exon2,36996618,36996709,117,207,91
NM_001354629.1,MLH1,exon3,37004400,37004474,208,281,74
NM_001354629.1,MLH1,exon4,37006990,37007063,282,354,73
NM_001354629.1,MLH1,exon5,37008813,37008905,355,446,92
NM_001354629.1,MLH1,exon6,37011819,37011862,447,489,43
NM_001354629.1,MLH1,exon7,37012010,37012099,490,578,89
NM_001354629.1,MLH1,exon8,37014431,37014544,579,691,113
NM_001354629.1,MLH1,exon9,37017505,37017599,692,785,94
NM_001354629.1,MLH1,exon10,37020309,37020463,786,939,154
NM_001354629.1,MLH1,exon11,37025636,37026007,940,1310,371
NM_001354629.1,MLH1,exon12,37028783,37028932,1311,1459,149
NM_001354629.1,MLH1,exon13,37040185,37040294,1460,1568,109
NM_001354629.1,MLH1,exon14,37042267,37042331,1569,1632,64
NM_001354629.1,MLH1,exon15,37047518,37047683,1633,1797,165
NM_001354629.1,MLH1,exon16,37048516,37048609,1798,1890,93
NM_001354629.1,MLH1,exon17,37048903,37049017,1891,2004,114
NM_001354629.1,MLH1,exon18,37050485,37050653,2005,2172,168
NM_001354628.1,MLH1,exon1,36993547,36993663,1,116,116
NM_001354628.1,MLH1,exon2,36996618,36996709,117,207,91
NM_001354628.1,MLH1,exon3,37000954,37001053,208,306,99
NM_001354628.1,MLH1,exon4,37004400,37004474,307,380,74
NM_001354628.1,MLH1,exon5,37006990,37007063,381,453,73
NM_001354628.1,MLH1,exon6,37008813,37008905,454,545,92
NM_001354628.1,MLH1,exon7,37011819,37011862,546,588,43
NM_001354628.1,MLH1,exon8,37012010,37012099,589,677,89
NM_001354628.1,MLH1,exon9,37014431,37014544,678,790,113
NM_001354628.1,MLH1,exon10,37017505,37017599,791,884,94
NM_001354628.1,MLH1,exon11,37020309,37020463,885,1038,154
NM_001354628.1,MLH1,exon12,37025636,37026007,1039,1409,371
NM_001354628.1,MLH1,exon13,37028783,37028932,1410,1558,149
NM_001354628.1,MLH1,exon14,37040185,37040294,1559,1667,109
NM_001354628.1,MLH1,exon15,37042267,37042331,1668,1731,64
NM_001354628.1,MLH1,exon16,37047518,37047683,1732,1896,165
NM_001354628.1,MLH1,exon17,37048903,37049017,1897,2010,114
NM_001354628.1,MLH1,exon18,37050485,37050653,2011,2178,168
NM_001005242.3,PKP2,exon1,32792423,32792492,1,69,69
NM_001005242.3,PKP2,exon2,32792643,32792731,70,157,88
NM_001005242.3,PKP2,exon3,32796108,32796298,158,347,190
NM_001005242.3,PKP2,exon4,32802402,32802556,348,501,154
NM_001005242.3,PKP2,exon5,32821355,32821529,502,675,174
NM_001005242.3,PKP2,exon6,32822466,32822631,676,840,165
NM_001005242.3,PKP2,exon7,32824044,32824162,841,958,118
NM_001005242.3,PKP2,exon8,32841027,32841205,959,1136,178
NM_001005242.3,PKP2,exon9,32850765,32850973,1137,1344,208
NM_001005242.3,PKP2,exon10,32868926,32869062,1345,1480,136
NM_001005242.3,PKP2,exon11,32877845,32878543,1481,2178,698
NM_001005242.3,PKP2,exon12,32878919,32879032,2179,2291,113
NM_001005242.3,PKP2,exon13,32896508,32896731,2292,2514,223
NM_000384.3,APOB,exon1,21001729,21003334,1,1605,1605
NM_000384.3,APOB,exon2,21004268,21004452,1606,1789,184
NM_000384.3,APOB,exon3,21004560,21004675,1790,1904,115
NM_000384.3,APOB,exon4,21005079,21012651,1905,9476,7572
NM_000384.3,APOB,exon5,21013159,21013533,9477,9850,374
NM_000384.3,APOB,exon6,21014447,21014593,9851,9996,146
NM_000384.3,APOB,exon7,21015072,21015260,9997,10184,188
NM_000384.3,APOB,exon8,21015369,21015545,10185,10360,176
NM_000384.3,APOB,exon9,21016438,21016649,10361,10571,211
NM_000384.3,APOB,exon10,21018991,21019113,10572,10693,122
NM_000384.3,APOB,exon11,21019722,21019905,10694,10876,183
NM_000384.3,APOB,exon12,21022830,21023042,10877,11088,212
NM_000384.3,APOB,exon13,21023524,21023692,11089,11256,168
NM_000384.3,APOB,exon14,21024932,21025124,11257,11448,192
NM_000384.3,APOB,exon15,21026787,21026964,11449,11625,177
NM_000384.3,APOB,exon16,21027827,21028065,11626,11863,238
NM_000384.3,APOB,exon17,21028326,21028538,11864,12075,212
NM_000384.3,APOB,exon18,21029638,21029785,12076,12222,147
NM_000384.3,APOB,exon19,21029897,21030015,12223,12340,118
NM_000384.3,APOB,exon20,21032353,21032581,12341,12568,228
NM_000384.3,APOB,exon21,21033298,21033518,12569,12788,220
NM_000384.3,APOB,exon22,21034815,21034901,12789,12874,86
NM_000384.3,APOB,exon23,21035583,21035708,12875,12999,125
NM_000384.3,APOB,exon24,21037099,21037255,13000,13155,156
NM_000384.3,APOB,exon25,21037957,21038111,13156,13309,154
NM_000384.3,APOB,exon26,21040937,21041083,13310,13455,146
NM_000384.3,APOB,exon27,21042360,21042476,13456,13571,116
NM_000384.3,APOB,exon28,21043512,21043551,13572,13610,39
NM_000384.3,APOB,exon29,21043863,21043945,13611,13692,82
NM_000535.7,PMS2,exon1,5973398,5973542,1,144,144
NM_000535.7,PMS2,exon2,5977587,5977757,145,314,170
NM_000535.7,PMS2,exon3,5978595,5978696,315,415,101
NM_000535.7,PMS2,exon4,5982823,5982991,416,583,168
NM_000535.7,PMS2,exon5,5986758,5987620,584,1445,862
NM_000535.7,PMS2,exon6,5989799,5989955,1446,1601,156
NM_000535.7,PMS2,exon7,5991972,5992057,1602,1686,85
NM_000535.7,PMS2,exon8,5995533,5995633,1687,1786,100
NM_000535.7,PMS2,exon9,5997325,5997423,1787,1884,98
NM_000535.7,PMS2,exon10,5999107,5999275,1885,2052,168
NM_000535.7,PMS2,exon11,6002452,6002636,2053,2236,184
NM_000535.7,PMS2,exon12,6003689,6003792,2237,2339,103
NM_000535.7,PMS2,exon13,6003971,6004058,2340,2426,87
NM_000535.7,PMS2,exon14,6005891,6006031,2427,2566,140
NM_000535.7,PMS2,exon15,6008996,6009019,2567,2589,23
NM_001257374.3,LMNA,exon1,156126203,156126223,1,20,20
NM_001257374.3,LMNA,exon2,156130616,156130773,21,177,157
NM_001257374.3,LMNA,exon3,156134402,156134528,178,303,126
NM_001257374.3,LMNA,exon4,156134804,156134975,304,474,171
NM_001257374.3,LMNA,exon5,156135186,156135312,475,600,126
NM_001257374.3,LMNA,exon6,156135900,156136121,601,821,221
NM_001257374.3,LMNA,exon7,156136213,156136436,822,1044,223
NM_001257374.3,LMNA,exon8,156136920,156137028,1045,1152,108
NM_001257374.3,LMNA,exon9,156137112,156137232,1153,1272,120
NM_001257374.3,LMNA,exon10,156137653,156137743,1273,1362,90
NM_001257374.3,LMNA,exon11,156138487,156138757,1363,1632,270
NM_001257374.3,LMNA,exon12,156139079,156139102,1633,1655,23
NM_001257374.3,LMNA,exon13,156139769,156139839,1656,1725,70
NM_000258.3,MYL3,exon2,46858243,46858272,1,29,29
NM_000258.3,MYL3,exon3,46858383,46858461,30,107,78
NM_000258.3,MYL3,exon4,46859474,46859648,108,281,174
NM_000258.3,MYL3,exon5,46860675,46860825,282,431,150
NM_000258.3,MYL3,exon6,46860959,46860987,432,459,28
NM_000258.3,MYL3,exon7,46863261,46863390,460,588,129
NM_001278138.1,ENG,exon1,127815681,127815806,1,125,125
NM_001278138.1,ENG,exon2,127815942,127816053,126,236,111
NM_001278138.1,ENG,exon3,127817148,127817203,237,291,55
NM_001278138.1,ENG,exon4,127818119,127818377,292,549,258
NM_001278138.1,ENG,exon5,127818715,127818832,550,666,117
NM_001278138.1,ENG,exon6,127819621,127819660,667,705,39
NM_001278138.1,ENG,exon7,127819899,127820037,706,843,138
NM_001278138.1,ENG,exon8,127824303,127824446,844,986,143
NM_001278138.1,ENG,exon9,127824799,127824974,987,1161,175
NM_001278138.1,ENG,exon10,127825230,127825357,1162,1288,127
NM_001278138.1,ENG,exon11,127825694,127825837,1289,1431,143
NM_001320415.2,MAX,exon1,65076475,65076663,1,188,188
NM_001320415.2,MAX,exon2,65077343,65077428,189,273,85
NM_001320415.2,MAX,exon3,65077912,65077933,274,294,21
NM_001256021.1,TRDN,exon1,123503650,123503901,1,251,251
NM_001256021.1,TRDN,exon2,123512302,123512362,252,311,60
NM_001256021.1,TRDN,exon3,123516140,123516206,312,377,66
NM_001256021.1,TRDN,exon4,123530505,123530565,378,437,60
NM_001256021.1,TRDN,exon5,123547339,123547372,438,470,33
NM_001256021.1,TRDN,exon6,123548453,123548612,471,629,159
NM_001256021.1,TRDN,exon7,123570922,123571132,630,839,210
NM_001256021.1,TRDN,exon8,123636753,123636775,840,861,22
NM_001167619.2,MLH1,exon8,37014477,37014544,1,67,67
NM_001167619.2,MLH1,exon9,37017505,37017599,68,161,94
NM_001167619.2,MLH1,exon10,37020309,37020463,162,315,154
NM_001167619.2,MLH1,exon11,37025636,37026007,316,686,371
NM_001167619.2,MLH1,exon12,37028783,37028932,687,835,149
NM_001167619.2,MLH1,exon13,37040185,37040294,836,944,109
NM_001167619.2,MLH1,exon14,37042267,37042331,945,1008,64
NM_001167619.2,MLH1,exon15,37047518,37047683,1009,1173,165
